ID,Country,Region,City,Chinese Name
106,United Kingdom,Wales,Bangor,邦哥
107,United Kingdom,England,Liverpool,利物浦
108,United Kingdom,England,Preston,普雷斯頓
109,United States of America,Hawaii,Honolulu,檀香山(火奴魯魯)
110,United States of America,Hawaii,Hilo,希洛
111,-,-,-,
112,Australia,Queensland,Ipswich,伊普斯威治
113,Canada,Ontario,Belleville,柏維勒
114,Canada,Ontario,Barrie,巴立
115,Canada,Ontario,Sarnia,薩尼亞
116,Canada,Ontario,Peterborough,彼得波羅
117,Finland,-,-,
118,Australia,Australian Capital Territory,Canberra,坎培拉
119,Australia,New South Wales,Port Macquarie,麥夸利港
120,Afghanistan,Kabul,Kabul,喀布爾
121,Spain,Andalusia,Córdoba,哥多華
122,Spain,Andalusia,Málaga,馬拉加
123,Finland,-,-,
124,United Kingdom,England,Derby,德比
125,Germany,Mecklenburg-Vorpommern,Schwerin,什威林
126,-,-,-,
127,Germany,Schleswig-Holstein,Kiel,基爾
128,United Kingdom,England,Nottingham,諾丁罕
129,Canada,Nova Scotia,Halifax,哈利法克斯
130,Portugal,-,-,
131,Portugal,-,-,
132,United States of America,Kansas,Topeka,托皮卡
133,Austria,Upper Austria,Linz,林茲
134,China,Beijing,Beijing,Not Found
135,Portugal,-,-,
136,Portugal,-,-,
137,Portugal,-,-,
138,Portugal,-,-,
139,Portugal,-,-,
140,Portugal,-,-,
141,Portugal,-,-,
142,Portugal,-,-,
143,Portugal,Azores,Angra do Heroismo,Not Found
144,Portugal,Madeira,Funchal,芳夏爾
145,-,-,-,
146,Portugal,Azores,Ponta Delgada,Not Found
147,Germany,North Rhine-Westphalia,Dortmund,多特蒙德
148,Germany,Schleswig-Holstein,Lübeck,呂貝克
149,United Kingdom,England,St Albans,聖奧班斯
150,-,-,-,
151,Germany,Hesse,Gießen,吉森
152,South Africa,Eastern Cape,Port Elizabeth,伊利薩白港[市]
153,United Kingdom,England,Wolverhampton,伍爾弗漢普頓
154,South Africa,Gauteng,Pretoria,普利托利亞
155,Sweden,Kronobergs län,Växjö,維克舍
156,Hungary,-,-,
157,Germany,Rhineland-Palatinate,Zweibrücken,茲外布呂肯
158,Portugal,-,-,
159,Denmark,Capital Region of Denmark,Gentofte,根托夫特
160,Portugal,-,-,
161,Portugal,-,-,
162,Philippines,Albay,Legazpi,Not Found
163,Romania,Arad,Arad,阿拉德
164,Morocco,-,-,
165,Sweden,Uppsala län,Uppsala,烏普沙拉
166,Germany,Free State of Bavaria,Würzburg,玉茲堡
167,-,-,-,
168,Germany,North Rhine-Westphalia,Moers,摩爾斯
169,Australia,New South Wales,Newcastle,紐卡斯爾
170,Australia,New South Wales,Batemans Bay,Not Found
171,Australia,New South Wales,Nowra,瑙拉
172,Turkey,Ankara,Ankara,安卡拉
173,Turkey,Edirne,Edirne,愛第尼(阿德里安堡)
174,Turkey,Çanakkale,Çanakkale,恰納卡來
175,Turkey,Kırklareli,Kırklareli,刻克拉雷利
176,-,-,-,
177,Turkey,Balıkesir,Balıkesir,巴力克塞
178,Turkey,Aydın,Aydın,艾丁
179,Turkey,Muğla,Muğla,木拉
180,Turkey,Sakarya,Adapazarı,亞達帕札
181,Turkey,Afyonkarahisar,Afyonkarahisar,阿夫永卡拉希薩(阿夫永)
182,Turkey,Bilecik,Bilecik,比來及克
183,-,-,-,
184,Turkey,Burdur,Burdur,布爾都
185,-,-,-,
186,Turkey,Denizli,Denizli,德尼茲利
187,Turkey,Düzce,Düzce,丟茲策
188,Turkey,Eskişehir,Eskişehir,艾斯基瑟希
189,-,-,-,
190,Turkey,Konya,Konya,科尼亞
191,Turkey,Kütahya,Kütahya,庫塔雅
192,Turkey,Manisa,Manisa,馬尼沙
193,Turkey,Uşak,Uşak,烏沙克
194,Turkey,Yalova,Yalova,Not Found
195,Hungary,-,-,
196,Sweden,Stockholms län,Stockholm,斯德哥爾摩
197,Sweden,Västra Götalands län,Gothenburg,哥審堡
198,Iran,Tehran,Tehran,德黑蘭
199,Finland,-,-,
200,Sweden,Värmlands län,Karlstad,卡爾斯塔
201,Australia,New South Wales,Coffs Harbour,Not Found
202,Australia,New South Wales,Grafton,格拉夫頓
203,Australia,New South Wales,Ballina,巴林納
204,Slovakia,Region of Žilina,Žilina,濟利納
205,Slovakia,Region of Trenčín,Trenčín,特倫欽
206,Slovakia,Region of Prešov,Prešov,普雷秀夫
207,Slovakia,Region of Trnava,Trnava,特納瓦
208,Slovakia,Region of Banská Bystrica,Banská Bystrica,班斯卡比斯垂查
209,-,-,-,
210,-,-,-,
211,Iran,East Azerbaijan,Tabriz,大布里士
212,-,-,-,
213,Iran,Qazvin,Qazvin,加茲溫
214,-,-,-,
215,-,-,-,
216,-,-,-,
217,United States of America,Pennsylvania,Harrisburg,哈立斯堡
218,Ukraine,Kyiv,Kyiv,基輔
219,Ukraine,Chernihiv Oblast,Chernihiv,車尼希夫(車尼哥夫)
220,Ukraine,Odessa Oblast,Odessa,奧德薩
221,Ukraine,Lviv Oblast,Lviv,利維夫(勒弗夫、蘭伯格)
222,Belarus,Homiel Raion,Homel,Not Found
223,Belarus,Minsk,Minsk,明斯克
224,-,-,-,
225,Canada,Ontario,Niagara Falls,尼加拉瀑布
226,Romania,Mureș,Târgu Mureș,Not Found
227,Canada,Ontario,St. Catharines,聖凱瑟琳斯
228,Germany,North Rhine-Westphalia,Bonn,波昂
229,Cuba,Havana,Havana,Not Found
230,Iran,West Azerbaijan,Urmia,烏魯米耶(禮薩伊耶、烏爾米耶)
231,-,-,-,
232,South Africa,Gauteng,Roodepoort,Not Found
233,Poland,Pomeranian Voivodeship,Gdańsk,但澤(格但斯克)
234,Poland,Pomeranian Voivodeship,Gdynia,格地尼亞
235,South Africa,Gauteng,Germiston,哲密斯頓
236,South Africa,Gauteng,Boksburg,波克斯堡
237,-,-,-,
238,Iran,Kerman,Kahnuj,Not Found
239,Turkey,Adana,Adana,亞達納
240,Turkey,Hakkâri,Hakkâri,策勒莫里克(哈卡里)
241,Turkey,Van,Van,凡湖
242,Turkey,Iğdır,Iğdır,伊迪爾
243,Turkey,Hatay,Antakya,安塔克雅(安提阿)
244,Turkey,Kahramanmaraş,Kahramanmaraş,Not Found
245,Turkey,Mersin,Mersin,伊策爾(麥辛)
246,Turkey,Osmaniye,Osmaniye,Not Found
247,Turkey,Aksaray,Aksaray,阿克沙來
248,Turkey,Çankırı,Çankırı,昌基利
249,Turkey,Karaman,Karaman,卡拉曼
250,Turkey,Kayseri,Kayseri,開瑟里
251,Turkey,Kırıkkale,Kırıkkale,刻里卡雷
252,Turkey,Kırşehir,Kırşehir,刻瑟希爾
253,Turkey,Nevşehir,Nevşehir,內夫瑟希爾
254,Turkey,Niğde,Niğde,尼代
255,Turkey,Sivas,Sivas,西瓦斯
256,Turkey,Yozgat,Yozgat,約茲加特
257,Turkey,Amasya,Amasya,阿馬斯雅
258,Turkey,Artvin,Artvin,阿特文(楚魯)
259,Turkey,Bartın,Bartın,巴丁
260,Turkey,Bayburt,Bayburt,拜柏特
261,Turkey,Çorum,Çorum,丘魯丹
262,Turkey,Giresun,Giresun,吉列孫
263,Turkey,Gümüşhane,Gümüşhane,居米什哈內
264,Turkey,Karabük,Karabük,卡拉布克
265,Turkey,Kastamonu,Kastamonu,卡斯塔莫奴
266,Turkey,Ordu,Ordu,奧杜
267,Turkey,Rize,Rize,里澤
268,Turkey,Samsun,Samsun,桑孫
269,Turkey,Sinop,Sinop,細諾普
270,Turkey,Tokat,Tokat,托卡特
271,Turkey,Zonguldak,Zonguldak,宗古達克
272,Turkey,Ağrı,Ağrı,阿格里河
273,Turkey,Ardahan,Ardahan,阿達汗
274,Turkey,Bingöl,Bingöl,丙哥爾(恰帕克丘爾)
275,Turkey,Bitlis,Bitlis,比特利斯
276,Turkey,Elazığ,Elazığ,愛拉齊
277,Turkey,Muş,Muş,木什
278,Turkey,Erzincan,Erzincan,艾爾金占
279,Turkey,Erzurum,Erzurum,艾朱倫
280,Turkey,Kars,Kars,卡斯
281,Turkey,Malatya,Malatya,馬拉提亞
282,Turkey,Tunceli,Tunceli,Not Found
283,Turkey,Adıyaman,Adıyaman,阿地雅曼
284,Turkey,Batman,Batman,伊路赫(巴特曼)
285,Turkey,Diyarbakır,Diyarbakır,迪雅巴克
286,Turkey,Gaziantep,Gaziantep,加吉安特
287,Turkey,Kilis,Kilis,Not Found
288,Turkey,Mardin,Mardin,馬丁
289,Turkey,Şanlıurfa,Şanlıurfa,Not Found
290,Turkey,Siirt,Siirt,Not Found
291,Turkey,Şırnak,Şırnak,Not Found
292,United States of America,Texas,Dallas,達拉斯
293,Brazil,Bahia,Vitória da Conquista,Not Found
294,Cuba,Pinar del Rio,Pinar del Rio,皮納里約
295,United Kingdom,England,Stoke-on-Trent,斯托克[特倫特]
296,Kazakhstan,Almaty,Almaty,阿拉木圖
297,Poland,West Pomeranian Voivodeship,Szczecin,什切青(斯泰丁)
298,Poland,Lubusz Voivodeship,Zielona Góra,Not Found
299,Denmark,Central Denmark Region,Herning,赫寧
300,Denmark,Region of Southern Denmark,Kolding,科丁
301,Denmark,Region of Southern Denmark,Vejle,外勒
302,Denmark,Central Denmark Region,Aarhus,奧爾路斯
303,Denmark,Region of Southern Denmark,Odense,奧登色
304,Spain,Cantabria,Santander,桑坦德省
305,Myanmar,Kachin,Myitkyina,密支那
306,-,-,-,
307,Myanmar,Shan,Taunggyi,東枝
308,Myanmar,Magway,Magwe,Not Found
309,Myanmar,Mandalay,Pyin U Lwin,Not Found
310,Myanmar,Kayah,Loikaw,壘固(荖廓)
311,Myanmar,Yangon,Yangon,仰光
312,Myanmar,Mon,Thaton,直通
313,Myanmar,Bago,Pyay,Not Found
314,Myanmar,Ayeyarwady,Pathein ( Bassein),Not Found
315,Myanmar,Shan,Lashio,臘戍
316,Myanmar,Tanintharyi,Dawei,Not Found
317,Myanmar,Bago,Bago,巴戈
318,Myanmar,Mandalay,Myingyan,敏建
319,Myanmar,Rakhine,Sittwe,Not Found
320,Myanmar,Bago,Taungoo,東瓜
321,Myanmar,Magway,Yenangyaung,仁安羌
322,Myanmar,Mandalay,Mandalay,曼德勒省
323,Myanmar,Sagaing,Monywa,蒙育瓦（望瀨）
324,Myanmar,Mandalay,Meiktila,密鐵拉
325,Myanmar,Ayeyarwady,Hinthada,興實達
326,Myanmar,Tanintharyi,Mergui,墨吉(丹老)
327,-,-,-,
328,-,-,-,
329,-,-,-,
330,-,-,-,
331,Canada,Saskatchewan,Saskatoon,薩斯喀屯
332,-,-,-,
333,Cuba,Villa Clara,Santa Clara,聖克拉拉
334,France,Lorraine,Metz,梅茲
335,France,Centre-Val de Loire,Tours,土赫(杜爾)
336,France,Auvergne,Clermont-Ferrand,克勒蒙費宏
337,France,Champagne-Ardenne,Reims,漢斯
338,France,Burgundy,Dijon,第戎
339,France,Centre-Val de Loire,Orléans,奧略昂
340,France,Picardy,Amiens,亞眠
341,France,Midi-Pyrénées,Toulouse,土魯斯
342,France,Limousin,Limoges,利摩日
343,France,Brittany,Rennes,黑恩
344,-,-,-,
345,France,Rhône-Alpes,Saint-Étienne,聖德田
346,-,-,-,
347,France,Pays de la Loire,Nantes,南特
348,France,Free County,Besançon,貝桑松
349,France,Pays de la Loire,Le Mans,曼斯
350,France,Alsace,Strasbourg,斯特拉斯堡
351,France,Alsace,Mulhouse,默路斯
352,France,Pays de la Loire,Angers,安傑
353,France,Nord-Pas-de-Calais,Lille,里耳
354,France,Provence-Alpes-Côte d'Azur,Toulon,土倫
355,France,Languedoc-Roussillon,Nîmes,尼母
356,France,Upper Normandy,Rouen,盧昂
357,France,Rhône-Alpes,Grenoble,格勒諾勃
358,France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Not Found
359,France,Nord-Pas-de-Calais,Roubaix,盧貝
360,France,-,-,
361,France,Nord-Pas-de-Calais,Tourcoing,土爾匡
362,France,Nord-Pas-de-Calais,Dunkirk,敦克爾克
363,France,Aquitaine,Pau,坡市
364,France,Lorraine,Nancy,南錫
365,-,-,-,
366,France,Provence-Alpes-Côte d'Azur,Sausset-les-Pins,Not Found
367,United Kingdom,England,Lancaster,蘭卡斯特
368,United Kingdom,Wales,Newport,紐波特
369,United Kingdom,England,Kingston upon Hull,赫爾
370,United Kingdom,England,Bradford,布拉福
371,Latvia,Zemgale,Jelgava,葉爾加瓦
372,Latvia,Vidzeme,Riga,里加
373,Canada,Saskatchewan,Regina,雷吉納
374,Morocco,-,-,
375,-,-,-,
376,-,-,-,
377,Morocco,-,-,
378,Hungary,-,-,
379,Hungary,-,-,
380,France,Provence-Alpes-Côte d'Azur,Marseille,馬賽
381,Germany,Baden-Württemberg,Heilbronn,海布隆
382,Sweden,Skåne län,Malmö,馬爾摩
383,Latvia,Vidzeme,Valmiera,瓦爾米耶拉
384,Austria,Burgenland,Eisenstadt,愛森斯塔特(鐵城)
385,United States of America,California,San Francisco,聖夫蘭西斯科
386,-,-,-,
387,-,-,-,
388,United Kingdom,England,Salford,沙爾福
389,United Kingdom,England,Truro,楚洛
390,Canada,Alberta,Calgary,卡加立
391,Canada,Alberta,Airdrie,亞的里
392,Russian Federation,Архангельская область,Severodvinsk,Not Found
393,Russian Federation,Republic of Karelia,Petrozavodsk,彼得札沃次克
394,South Africa,Free State,Bloemfontein,布隆泉
395,Russian Federation,Вологодская область,Vologda,沃洛格達
396,Romania,Hunedoara,Deva,德瓦
397,-,-,-,
398,-,-,-,
399,-,-,-,
400,Russian Federation,Tver Oblast,Tver,Not Found
401,Spain,Basque Country,Bilbao,畢爾包 (比歐巴)
402,Spain,Basque Country,Vitoria-Gasteiz,Not Found
403,Russian Federation,Novgorod Oblast,Veliky Novgorod,Not Found
404,United States of America,Michigan,Ann Arbor,安納保
405,United States of America,Michigan,Flint,夫林特
406,Russian Federation,Pskov Oblast,Pskov,普斯科夫
407,-,-,-,
408,Congo-Kinshasa,Kinshasa,Kinshasa,金夏沙(利歐波德維勒)
409,Russian Federation,Kaliningrad,Kaliningrad,卡里寧格勒 (科尼斯伯格)
410,-,-,-,
411,-,-,-,
412,Russian Federation,Pskov Oblast,Velikiye Luki,大魯基
413,Russian Federation,Smolensk Oblast,Smolensk,斯摩倫斯克
414,Russian Federation,Bryansk Oblast,Bryansk,布揚斯克
415,Egypt,Red Sea Governorate,Hurghada,蓋爾代加(古爾代加，赫加達)
416,Russian Federation,Kursk Oblast,Kursk,庫斯克
417,United States of America,Texas,San Antonio,聖安東尼奧
418,Russian Federation,Oryol Oblast,Oryol,Not Found
419,-,-,-,
420,Australia,Tasmania,Devonport,德文波特
421,Ukraine,Poltava Oblast,Poltava,波爾塔瓦
422,Ukraine,Zaporizhia Oblast,Zaporizhzhia,札波利扎(札波羅結)
423,Latvia,Zemgale,Jēkabpils,耶卡布城
424,Israel,South District,Eilat,埃拉特
425,Latvia,Courland,Liepāja,列帕雅
426,Poland,Greater Poland Voivodeship,Poznań,波森(波茲南)
427,Philippines,Pampanga,Angeles,安琪來斯
428,Belarus,Brest Region,Brest,佩斯特
429,Philippines,Zambales,Olongapo,奧隆亞波港
430,Lithuania,Kaunas County,Kaunas,考納斯(考夫諾)
431,Lithuania,Vilnius County,Vilnius,維爾紐斯
432,Lithuania,Klaipeda County,Klaipėda,克來佩達(美麥)
433,Lithuania,Siauliai County,Šiauliai,希奧利艾
434,Russian Federation,Autonomous Republic of Crimea,Yevpatoriya,葉夫帕托里雅
435,Tanzania,Zanzibar Urban/West,Stone Town,Not Found
436,-,-,-,
437,Switzerland,Basel-City,Basel,巴塞爾
438,United States of America,Texas,Fort Worth,沃斯堡
439,Germany,North Rhine-Westphalia,Essen,埃森
440,-,-,-,
441,-,-,-,
442,-,-,-,
443,-,-,-,
444,-,-,-,
445,-,-,-,
446,-,-,-,
447,Germany,Hesse,Frankfurt am Main,梅因河畔法蘭克福(法蘭克福)
448,Sweden,Östergötlands län,Norrköping,諾爾科平
449,Sweden,Gävleborgs län,Gävle,耶夫勒
450,Sweden,Västerbottens län,Umeå,於莫歐
451,Peru,Loreto,Iquitos,伊基多斯
452,-,-,-,
453,United Kingdom,Wales,St Asaph,聖亞沙夫
454,-,-,-,
455,-,-,-,
456,Russian Federation,Saint Petersburg,Saint Petersburg,Not Found
457,Russian Federation,Primorsky Krai,Vladivostok,夫拉迪沃斯托克(海參崴)
458,Russian Federation,Sverdlovsk Oblast,Yekaterinburg,葉卡捷琳堡
459,Russian Federation,Novosibirsk Oblast,Novosibirsk,新西伯利亞
460,Russian Federation,Samara Oblast,Samara,沙馬拉河
461,Russian Federation,Омская область,Omsk,鄂木斯克
462,Russian Federation,Tatarstan,Kazan,喀山
463,Russian Federation,Chelyabinsk Oblast,Chelyabinsk,車里雅賓[斯克]
464,Russian Federation,Bashkortostan,Ufa,烏法
465,Russian Federation,Volgograd Oblast,Volgograd,伏爾加格勒
466,Russian Federation,Perm Krai,Perm,莫洛托夫(珀母)
467,Russian Federation,Saratov Oblast,Saratov,沙拉托夫
468,Russian Federation,Voronezh Oblast,Voronezh,弗羅涅日
469,Russian Federation,Samara Oblast,Tolyatti,Not Found
470,Russian Federation,Krasnodar Krai,Krasnodar,Not Found
471,Russian Federation,Yaroslavl Oblast,Yaroslavl,雅羅斯拉夫
472,Russian Federation,Алтайский край,Barnaul,巴爾瑙
473,Russian Federation,Irkutsk Oblast,Irkutsk,伊爾庫次克
474,Russian Federation,Kemerovo Oblast,Novokuznetsk,新庫茲內次克
475,Russian Federation,Orenburg Oblast,Orenburg,奧倫堡(契卡洛夫)
476,Russian Federation,Ryazan Oblast,Ryazan,里亞占
477,Russian Federation,Penza Oblast,Penza,朋札
478,Russian Federation,Tyumen Oblast,Tyumen,秋門
479,Russian Federation,Nizhny Novgorod Oblast,Nizhny Novgorod,Not Found
480,Romania,Brăila,Brăila,布勒伊拉
481,Romania,Vrancea,Focșani,Not Found
482,Sweden,Västmanlands län,Västerås,維斯特羅斯
483,-,-,-,
484,Kyrgyzstan,Chui Province,Bishkek,比斯凱克
485,Uzbekistan,Tashkent,Tashkent,塔什干
486,Kazakhstan,East Kazakhstan,Semipalatinsk,Not Found
487,United States of America,Texas,Houston,休士頓
488,Tajikistan,Districts of Republican Subordination,Dushanbe,杜尚貝
489,-,-,-,
490,Mongolia,-,-,
491,Kazakhstan,Astana,Astana,阿克摩拉(阿斯塔納)
492,-,-,-,
493,Spain,Basque Country,Hondarribia,Not Found
494,Iran,Hamadan,Hamedan,哈馬丹
495,Sweden,Jämtlands län,Östersund,東松德
496,Sweden,Norrbottens län,Luleå,盧勒(魯勒)
497,Niger,Niamey,Niamey,尼阿美
498,Angola,Luanda,Luanda,魯安達
499,Algeria,Constantine,Constantine,君士坦丁
500,Mali,Bamako District,Bamako,巴馬科
501,Egypt,Suez Governorate,Suez,蘇伊士
502,Tunisia,Tunis,Tunis,突尼斯
503,Congo-Kinshasa,Katanga,Lubumbashi,呂本巴希(伊利薩白維)
504,Egypt,Port Said Governorate,Port Said,塞德港
505,-,-,-,
506,Liberia,Montserrado County,Monrovia,蒙羅維亞
507,Mozambique,Maputo,Matola,Not Found
508,-,-,-,
509,Central African Republic,Ombella M'Poko,Bangui,班基
510,Zambia,Lusaka Province,Lusaka,路沙卡
511,South Africa,KwaZulu-Natal,Durban,丟赫班
512,Burkina Faso,Centre,Ouagadougou,瓦加杜古
513,Nigeria,Delta,Warri,瓦里
514,Côte d'Ivoire,Vallée du Bandama,Bouaké,布瓦蓋
515,Egypt,Alexandria Governorate,Alexandria,亞力山卓
516,Chad,N'Djamena Region,N'Djamena,Not Found
517,-,-,-,
518,Tanzania,Dar es Salaam,Dar es Salaam,沙蘭港
519,Congo-Kinshasa,Kasaï-Oriental,Mbuji-Mayi,木布吉馬伊
520,Nigeria,Oyo,Oyo,奧約
521,Senegal,-,-,
522,-,-,-,
523,South Africa,Gauteng,Soweto,Not Found
524,-,-,-,
525,Nigeria,Oyo,Ogbomosho,奧波莫秀
526,Sierra Leone,Western Area,Freetown,自由城
527,Guinea,Conakry,Conakry,柯那克里
528,Nigeria,Rivers,Port Harcourt,哈刻特港
529,Nigeria,Oyo,Ibadan,伊巴丹
530,Gabon,Estuaire,Libreville,自由市
531,-,-,-,
532,Ethiopia,Addis Ababa,Addis Abeba,Not Found
533,Morocco,-,-,
534,Ghana,Greater Accra Region,Accra,阿克拉
535,Mozambique,Maputo,Maputo,洛倫索馬圭斯(馬布多)
536,-,-,-,
537,Djibouti,Djibouti,Djibouti,吉布地
538,Nigeria,Kwara,Ilorin,伊洛林
539,Nigeria,Kaduna,Kaduna,卡杜納
540,Algeria,Oran,Oran,奧宏
541,Kenya,Nairobi,Nairobi,奈洛比
542,Nigeria,Enugu,Enugu,埃奴古
543,-,-,-,
544,Nigeria,Ogun,Abeokuta,阿布庫塔
545,Nigeria,Borno,Maiduguri,邁杜古利
546,-,-,-,
547,Malawi,Southern,Blantyre,布蘭泰爾
548,Madagascar,-,-,
549,Sudan,al-Khartum,Khartoum,喀土穆
550,Libya,Benghazi,Benghazi,班加西
551,Egypt,Giza Governorate,Giza,吉薩
552,Nigeria,Lagos,Lagos,拉哥斯
553,Sweden,Örebro län,Örebro,厄勒布羅
554,-,-,-,
555,Cape Verde,-,-,
556,-,-,-,
557,-,-,-,
558,United States of America,Louisiana,New Orleans,紐奧良
559,-,-,-,
560,-,-,-,
561,-,-,-,
562,-,-,-,
563,-,-,-,
564,-,-,-,
565,South Africa,Mpumalanga,Secunda,Not Found
566,-,-,-,
567,-,-,-,
568,-,-,-,
569,Spain,Comunidad Foral de Navarra,Pamplona,潘普羅納
570,Canada,Manitoba,Selkirk,塞爾寇克
571,Poland,Silesian Voivodeship,Gliwice,格來維茲(格利維策)
572,-,-,-,
573,Spain,Canary Islands,Santa Cruz de Tenerife,聖克魯斯提內里費
574,Germany,North Rhine-Westphalia,Siegen,西根
575,Finland,-,-,
576,Iran,Alborz,Nazarabad,Not Found
577,Poland,Silesian Voivodeship,Tarnowskie Góry,塔努夫斯基哥里
578,Israel,Jerusalem District,Jerusalem,耶路撒冷(庫茲)
579,Croatia,-,-,
580,Spain,Castile and León,Segovia,塞哥維亞
581,Spain,Castile and León,Valladolid,瓦雅多利德
582,Australia,Western Australia,Perth,伯斯
583,Spain,Canary Islands,Las Palmas de Gran Canaria,Not Found
584,Cyprus,-,-,
585,-,-,-,
586,Australia,Northern Territory,Alice Springs,艾利斯泉(斯土亞特)
587,Australia,South Australia,Coober Pedy,庫柏佩迪
588,Australia,South Australia,Port Augusta,奧古斯塔港
589,Australia,Queensland,Cairns,凱恩斯(肯因茲)
590,United States of America,Louisiana,Shreveport,士里夫波特
591,Greece,-,-,
592,Latvia,Courland,Ventspils,文次匹爾斯
593,United States of America,Washington,Seattle,西雅圖
594,Poland,Silesian Voivodeship,Chorzów,荷祖夫
595,Canada,Alberta,Red Deer,雷迪爾(紅鹿市)
596,The Netherlands,Drenthe,Assen,亞森
597,Canada,Alberta,Brooks,布魯克斯
598,Canada,Alberta,Medicine Hat,美迪辛哈
599,Germany,North Rhine-Westphalia,Neuss,諾斯
600,Austria,Carinthia,Klagenfurt,克拉根福
601,Estonia,-,-,
602,Australia,New South Wales,Goulburn,哥爾本
